"ID_ACCUEIL","MARKER","NOM_ACCUEIL"
1,"49.619357,0.7671103","YVETOT "
2,"49.6219227,0.7505379","YVETOT "
3,"49.6672,0.8959","YERVILLE "
4,"49.7859413,0.9967799","TERRE DE CAUX "
5,"49.4152215,1.0900381","SOTTEVILLE LES ROUEN "
6,"49.86667,0.73333","SAINT VALERY EN CAUX "
7,"49.3779,1.1047","SAINT ETIENNE DU ROUVRAY "
8,"49.3932,0.9338","SAHURS "
9,"49.433162,1.084173","CPAM Rouen-Elbeuf-Dieppe"
10,"49.5127,0.6732","RIVES EN SEINE "
11,"49.4134,1.0615","PETIT QUEVILLY "
12,"49.3331,1.0941","OISSEL "
13,"49.493892,1.0486515","NOTRE DAME DE BONDEVILLE "
14,"49.735660552978516,1.4386663436889648","NEUFCHATEL EN BRAY "
15,"49.4601199,1.2979021","MARTAINVILLE EPREVILLE "
16,"49.5271,1.0429","MALAUNAY "
17,"49.4615312,1.1329998","MAISON DU PLATEAU "
18,"49.8073,1.4231","LONDINIERES "
19,"49.46242,1.1351743","LES HAUTS DE ROUEN "
20,"49.4849569,0.8052386","LE TRAIT  "
21,"49.4317813,0.8177921","JUMIEGES  "
22,"49.3570339,1.0079172","GRAND COURONNE "
23,"49.4697,1.671","GOURNAY EN BRAY "
24,"49.8110131,0.8492331","FONTAINE LE DUN "
25,"50.054319,1.4138667","EU "
26,"49.8915133,1.2751572","ENVERMEUX "
27,"49.2926217,1.0053141","ELBEUF  "
28,"49.6893,0.8099","DOUDEVILLE "
29,"49.920916,1.0838961","DIEPPE "
30,"49.4667,1.1833","DARNETAL "
31,"49.7112,0.6331","CANY BARVILLE "
32,"49.44065,1.02459","CANTELEU "
33,"49.5843243,1.3565223","BUCHY  "
34,"49.6266432,1.1751133","BOSC LE HARD "
35,"49.8679,1.5675","BLANGY SUR BRESLES "
36,"49.7082167,1.2252635","BELLENCOMBRE "
37,"49.5414,0.9194","BARENTIN "
38,"49.8243,0.5563","VALMONT "
39,"49.5285885,0.3573722","SAINT ROMAIN DE COLBOSC "
40,"49.5416476,0.1810637","MONTIVILLIERS  "
41,"49.5156699,0.5364928","LILLEBONNE "
42,"49.505,0.2357","GONFREVILLE L’ORCHER "
43,"49.6103,0.3547","GODERVILLE  "
44,"49.7138,0.4002","FÉCAMP  "
45,"49.7065569,0.2045078","ETRETAT "
46,"49.6286021,0.2713503","CRIQUETOT L’ESNEVAL "
47,"49.5179356,0.541836","LILLEBONNE – CLIP FORMATION  "
48,"49.5136579,0.1760274","CAUCRIAUVILLE  "
49,"49.588596,0.2817429","ANGERVILLE L’ORCHER "
50,"49.4940518,0.1256019","CPAM Le Havre "
