ID_ACCUEIL,NOM_ACCUEIL,TYPE,ADRESSE_ETAB,VILLE_ETAB
1,YVETOT ,france_services,4 Rue de la Brême 76190 YVETOT,YVETOT 
2,YVETOT ,agence,Place de la Gare 76190 YVETOT,YVETOT 
3,YERVILLE ,france_services,Route de Tôtes Espace Delahaye 76760 YERVILLE,YERVILLE 
4,TERRE DE CAUX ,france_services,58 Place du Général de Gaulle 76730 BACQUEVILLE-EN-CAUX,TERRE DE CAUX 
5,SOTTEVILLE LES ROUEN ,france_services,4 Chemin du Halage Gens du voyage 76300 SOTTEVILLE-LES-ROUEN,SOTTEVILLE LES ROUEN 
6,SAINT VALERY EN CAUX ,france_services,Place de la Gare Espace public du Littoral 76460 SAINT-VALERY-EN-CAUX,SAINT VALERY EN CAUX 
7,SAINT ETIENNE DU ROUVRAY ,agence,Place Jean Prévost Château Blanc Le Madrillet 76800 SAINT-ETIENNE-DU-ROUVRAY,SAINT ETIENNE DU ROUVRAY 
8,SAHURS ,msap,11 Rue BAS 76113 SAHURS,SAHURS 
9,CPAM Rouen-Elbeuf-Dieppe,siege,50 Avenue de Bretagne 76100 ROUEN,ROUEN
10,RIVES EN SEINE ,france_services,5 Rue Sainte gertrude 76490 CAUDEBEC-EN-CAUX,RIVES EN SEINE 
11,PETIT QUEVILLY ,pt_accueil,Rue Martial Spinnweber 76140 LE PETIT-QUEVILLY,PETIT QUEVILLY 
12,OISSEL ,france_services,Place de la liberté CCAS Centre Eliane Teumbeuf 76350 OISSEL,OISSEL 
13,NOTRE DAME DE BONDEVILLE ,agence,95 Route de Dieppe 76690 NOTRE-DAME-DE-BONDEVILLE,NOTRE DAME DE BONDEVILLE 
14,NEUFCHATEL EN BRAY ,pt_accueil,Espace Alfred Lemarchand 76270 NEUFCHATEL-EN-BRAY,NEUFCHATEL EN BRAY 
15,MARTAINVILLE EPREVILLE ,msap,190 Route du chateau 76116 MARTAINVILLE-EPREVILLE,MARTAINVILLE EPREVILLE 
16,MALAUNAY ,pt_accueil,Place de la Mairie Hotel de ville 76770 MALAUNAY,MALAUNAY 
17,MAISON DU PLATEAU ,france_services,Place Alfred de Musset 76000 ROUEN,MAISON DU PLATEAU 
18,LONDINIERES ,france_services,340 Rue du Maréchal Leclerc 76660 LONDINIERES,LONDINIERES 
19,LES HAUTS DE ROUEN ,agence,8 Rue Joachim Du Bellay 76000 ROUEN,LES HAUTS DE ROUEN 
20,LE TRAIT  ,france_services,Rue Victor Hugo 76380 LE TRAIT,LE TRAIT  
21,JUMIEGES  ,france_services,33 Rue Guillaume le Conquérant 76480 JUMIEGES,JUMIEGES  
22,GRAND COURONNE ,pt_accueil,50 Rue Georges Clémenceau 76530 GRAND-COURONNE,GRAND COURONNE 
23,GOURNAY EN BRAY ,france_services,Place d'arme 76220 GOURNAY-EN-BRAY,GOURNAY EN BRAY 
24,FONTAINE LE DUN ,france_services,40 Rue Charles lescane 76740 FONTAINE-LE-DUN,FONTAINE LE DUN 
25,EU ,france_services,12 Avenue Jacques Anquetil 76260 EU,EU 
26,ENVERMEUX ,france_services,46 Rue du général de Gaulle Falaises du Talou 76630 ENVERMEU,ENVERMEUX 
27,ELBEUF  ,agence,Rue de la Prairie 76500 ELBEUF,ELBEUF  
28,DOUDEVILLE ,france_services,2 Place du général de Gaulle Communauté plateau de Caux Doudeville 76560 DOUDEVILLE,DOUDEVILLE 
29,DIEPPE ,agence,19 Rue de Stalingrad 76200 DIEPPE,DIEPPE 
