CODE_EPCI,NOM_EPCI,TYPE_EPCI,NB_BENEF,TAUX_BENEF
200010700,CA Caux Seine Agglo,CA,3794,"56,20%"
200066405,CC Roumois Seine,CC,,
200068534,CC Terroir de Caux,CC,1653,"58,30%"
200069821,CA Fécamp Caux Littoral Agglomération,CA,1549,"56,90%"
200069847,CC Plateau de Caux-Doudeville-Yerville,CC,966,"57,30%"
200023414,Métropole Rouen Normandie,METRO,23982,"56,80%"
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,605,"51,70%"
200084952,CU Le Havre Seine Métropole,CU,14401,"59,60%"
247600588,CC des Villes Soeurs,CC,755,"51,10%"
247600604,CC de Londinières,CC,182,"51,30%"
247600620,CC Yvetot Normandie,CC,195,"59,20%"
200070449,CC Inter-Caux-Vexin,CC,2813,"66,30%"
247600786,CA de la Région Dieppoise,CA,1755,"52,70%"
200070068,CC Communauté Bray-Eawy,CC,1109,59%
200069730,CC des 4 rivières,CC,1090,"56,40%"
200069839,CC de la Côte d'Albâtre,CC,902,"50,50%"
247600646,CC Caux - Austreberthe,CC,1355,"60,70%"
247600505,CC Campagne-de-Caux,CC,839,"63,80%"
247600729,CC Falaises du Talou,CC,1056,"56,30%"
