CODE_EPCI,NOM_EPCI,TYPE_EPCI,NB_BENEF,TAUX_BENEF
200010700,CA Caux Seine Agglo,CA,8439,"62,30%"
200066405,CC Roumois Seine,CC,,
200068534,CC Terroir de Caux,CC,3950,"65,90%"
200069821,CA Fécamp Caux Littoral Agglomération,CA,4899,"63,90%"
200069847,CC Plateau de Caux-Doudeville-Yerville,CC,2116,"67,50%"
200023414,Métropole Rouen Normandie,METRO,56515,"66,30%"
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,1941,"58,90%"
200084952,CU Le Havre Seine Métropole,CU,33143,"66,10%"
247600588,CC des Villes Soeurs,CC,3362,"60,40%"
247600604,CC de Londinières,CC,525,"65,60%"
247600620,CC Yvetot Normandie,CC,3310,"65,80%"
200070449,CC Inter-Caux-Vexin,CC,6325,"68,90%"
247600786,CA de la Région Dieppoise,CA,6835,"61,90%"
200070068,CC Communauté Bray-Eawy,CC,2620,64%
200069730,CC des 4 rivières,CC,3319,"60,00%"
200069839,CC de la Côte d'Albâtre,CC,3051,"63,20%"
247600646,CC Caux - Austreberthe,CC,3109,"67,80%"
247600505,CC Campagne-de-Caux,CC,1454,"66,20%"
247600729,CC Falaises du Talou,CC,2502,"62,10%"
