CODE_EPCI,NOM_EPCI,TYPE_EPCI,NB_BENEF,TAUX_BENEF
200010700,CA Caux Seine Agglo,CA,5733,"58,30%"
200066405,CC Roumois Seine,CC,,
200068534,CC Terroir de Caux,CC,2707,"59,20%"
200069821,CA Fécamp Caux Littoral Agglomération,CA,2951,"55,70%"
200069847,CC Plateau de Caux-Doudeville-Yerville,CC,1494,"58,80%"
200023414,Métropole Rouen Normandie,METRO,35477,"59,80%"
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,1300,"55,80%"
200084952,CU Le Havre Seine Métropole,CU,20889,"59,60%"
247600588,CC des Villes Soeurs,CC,2070,"58,40%"
247600604,CC de Londinières,CC,338,"56,80%"
247600620,CC Yvetot Normandie,CC,2297,"63,30%"
200070449,CC Inter-Caux-Vexin,CC,4671,"65,40%"
247600786,CA de la Région Dieppoise,CA,4200,"57,30%"
200070068,CC Communauté Bray-Eawy,CC,1923,64%
200069730,CC des 4 rivières,CC,2231,"59,00%"
200069839,CC de la Côte d'Albâtre,CC,1906,"54,30%"
247600646,CC Caux - Austreberthe,CC,2027,"58,90%"
247600505,CC Campagne-de-Caux,CC,1067,"59,80%"
247600729,CC Falaises du Talou,CC,1830,"60,90%"
