CODE_EPCI,NOM_EPCI,TYPE_EPCI,NB_BENEF,TAUX_BENEF
200010700,CA Caux Seine Agglo,CA,7081,"41,60%"
200066405,CC Roumois Seine,CC,,
200068534,CC Terroir de Caux,CC,3600,"44,50%"
200069821,CA Fécamp Caux Littoral Agglomération,CA,2910,"36,20%"
200069847,CC Plateau de Caux-Doudeville-Yerville,CC,2050,"45,60%"
200023414,Métropole Rouen Normandie,METRO,46206,"44,00%"
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,1380,"40,40%"
200084952,CU Le Havre Seine Métropole,CU,24963,"42,00%"
247600588,CC des Villes Soeurs,CC,1879,"41,40%"
247600604,CC de Londinières,CC,418,"41,60%"
247600620,CC Yvetot Normandie,CC,2554,"45,10%"
200070449,CC Inter-Caux-Vexin,CC,6321,"51,00%"
247600786,CA de la Région Dieppoise,CA,3836,"39,10%"
200070068,CC Communauté Bray-Eawy,CC,2067,42%
200069730,CC des 4 rivières,CC,2258,"40,40%"
200069839,CC de la Côte d'Albâtre,CC,2024,"37,80%"
247600646,CC Caux - Austreberthe,CC,2630,"44,60%"
247600505,CC Campagne-de-Caux,CC,1484,"44,40%"
247600729,CC Falaises du Talou,CC,2259,"44,30%"
