CODE_EPCI,NOM_EPCI,TYPE_EPCI,NB_BENEF,TAUX_BENEF
200010700,CA Caux Seine Agglo,CA,8735,"15,10%"
200066405,CC Roumois Seine,CC,,
200068534,CC Terroir de Caux,CC,2812,"10,90%"
200069821,CA Fécamp Caux Littoral Agglomération,CA,3731,"13,50%"
200069847,CC Plateau de Caux-Doudeville-Yerville,CC,2349,"16,20%"
200023414,Métropole Rouen Normandie,METRO,53235,"14,50%"
200069722,CC interrégionale Aumale - Blangy-sur-Bresle,CC,1435,"11,90%"
200084952,CU Le Havre Seine Métropole,CU,34483,"16,70%"
247600588,CC des Villes Soeurs,CC,2754,"15,90%"
247600604,CC de Londinières,CC,420,"12,60%"
247600620,CC Yvetot Normandie,CC,2214,"11,60%"
200070449,CC Inter-Caux-Vexin,CC,3566,"9,10%"
247600786,CA de la Région Dieppoise,CA,7130,"20,10%"
200070068,CC Communauté Bray-Eawy,CC,2465,15%
200069730,CC des 4 rivières,CC,2681,"13,40%"
200069839,CC de la Côte d'Albâtre,CC,2878,"16,00%"
247600646,CC Caux - Austreberthe,CC,1553,"8,00%"
247600505,CC Campagne-de-Caux,CC,1502,"14,00%"
247600729,CC Falaises du Talou,CC,2139,"12,90%"
